Livre,Book,Vol,Series,Series CH,Start Page,End page,Region,Type of Place,Place Raw,"Place Raw, Paris, France",Quartier,Lat,Long,Description,Types Involved,Characters (Full Name),Characters (CSV),Shop Name,Store Type,Historical Figures,Date,WikiURL,ImageURL,Discourse
La messe de l'athée,MA,VII,La Comédie Humaine,Scènes de la vie privée,89,89,Outer Left-Bank Faubourgs,Residence,quartier Saint-Jacques,"""quartier Saint-Jacques, Paris, France""",Saint-Jacques,48.846667,2.343333,Water-carrier lives in the Saint-Jacques quarter,,Water-carrier,Water-carrier,,,,,http://fr.wikipedia.org/wiki/Rue_Saint-Jacques_(Paris),,Fact
La peau de chagrin,PC,XXVII,La Comédie Humaine,études philosophiques,211,211,Outer Left-Bank Faubourgs,Quarter,quartier Saint-Jacques,"""quartier Saint-Jacques, Paris, France""",Saint-Jacques,48.846667,2.343333,Mme Gaudin could purchase the whole Saint-Jacques quarter,,Mme Gaudin,Mme Gaudin,,,,,http://fr.wikipedia.org/wiki/Rue_Saint-Jacques_(Paris),,Fact
Les petits bourgeois,PB,XX,La Comédie Humaine,Scènes de la vie parisienne,35,35,Outer Left-Bank Faubourgs,Residence,quartier Saint-Jacques,"""quartier Saint-Jacques, Paris, France""",Saint-Jacques,48.846667,2.343333,Phéllion lives in the Saint-Jacques quarter,,Phéllion,Phéllion,,,,,http://fr.wikipedia.org/wiki/Rue_Saint-Jacques_(Paris),,Fact
Les petits bourgeois,PB,XX,La Comédie Humaine,Scènes de la vie parisienne,38,38,Outer Left-Bank Faubourgs,Quarter,quartier Saint-Jacques,"""quartier Saint-Jacques, Paris, France""",Saint-Jacques,48.846667,2.343333,Barniol is held in esteem in the Saint-Jacques quarter,,Barniol,Barniol,,,,,http://fr.wikipedia.org/wiki/Rue_Saint-Jacques_(Paris),,Fact
Les petits bourgeois,PB,XX,La Comédie Humaine,Scènes de la vie parisienne,54,54,Outer Left-Bank Faubourgs,Quarter,quartier Saint-Jacques,"""quartier Saint-Jacques, Paris, France""",Saint-Jacques,48.846667,2.343333,Théodose belonged to the poverty of the Saint-Jacques quarter,,Théodose,Théodose,,,,,http://fr.wikipedia.org/wiki/Rue_Saint-Jacques_(Paris),,Fact
Les petits bourgeois,PB,XX,La Comédie Humaine,Scènes de la vie parisienne,56,56,Outer Left-Bank Faubourgs,Quarter,quartier Saint-Jacques,"""quartier Saint-Jacques, Paris, France""",Saint-Jacques,48.846667,2.343333,Théodose belonged to the poverty of the Saint-Jacques quarter,,Théodose,Théodose,,,,,,,
Les petits bourgeois,PB,XX,La Comédie Humaine,Scènes de la vie parisienne,112,112,Outer Left-Bank Faubourgs,Quarter,quartier Saint-Jacques,"""quartier Saint-Jacques, Paris, France""",Saint-Jacques,48.846667,2.343333,Théodose belonged to the poverty of the Saint-Jacques quarter,,Théodose,Théodose,,,,,,,
Les petits bourgeois,PB,XX,La Comédie Humaine,Scènes de la vie parisienne,128,128,Outer Left-Bank Faubourgs,Residence,quartier Saint-Jacques,"""quartier Saint-Jacques, Paris, France""",Saint-Jacques,48.846667,2.343333,House where Cérizet conducts his business is characteristic of the faubourg Saint-Jacques,,Cérizet,Cérizet,,,,,http://fr.wikipedia.org/wiki/Rue_Saint-Jacques_(Paris),,Description
Ferragus,F,XIII,La Comédie Humaine,Scènes de la vie parisienne,84,86,Outer Left-Bank Faubourgs,Quarter,quartier Saint-Jacques,"""quartier Saint-Jacques, Paris, France""",Saint-Jacques,48.846667,2.343333,Description of the grisette,Grisette,,,,,,,http://fr.wikipedia.org/wiki/Rue_Saint-Jacques_(Paris),,Description
Les petits bourgeois,PB,XX,La Comédie Humaine,Scènes de la vie parisienne,10,10,Outer Left-Bank Faubourgs,Quarter,quartier Saint-Jacques,"""quartier Saint-Jacques, Paris, France""",Saint-Jacques,48.846667,2.343333,The change in quarters at Saint-Jacques,,,,,,,,http://fr.wikipedia.org/wiki/Rue_Saint-Jacques_(Paris),,Description
L'envers de l'histoire contemporaine,EHC,XX,La Comédie Humaine,Scènes de la vie parisienne,361,361,Outer Left-Bank Faubourgs,Region,Plaine de Montrouge,"""Plaine de Montrouge, Paris, France""",Saint-Jacques,48.8172,2.3219,Silk-worm industry in the plaine de Montrouge,,,,,,,,,,Description
Le père Goriot,PG,VI,La Comédie Humaine,Scènes de la vie privée,222,222,Outer Left-Bank Faubourgs,Region,Heights of Montrouge,"""Heights of Montrouge, Paris, France""",Saint-Jacques,48.8172,2.3219,Heights of Montrouge,,,,,,,,,,Description
Les petits bourgeois,PB,XX,La Comédie Humaine,Scènes de la vie parisienne,6,6,Outer Left-Bank Faubourgs,Quarter,Quartier d'Enfer,"""Quartier d'Enfer, Paris, France""",Saint-Jacques,48.851907,2.344143,Time when the Enfer quarter enjoyed favor,,,,,,,,http://fr.wikipedia.org/wiki/Rue_de_la_Harpe,,Description
Un début dans la vie,DV,II,La Comédie Humaine,Scènes de la vie privée,358,358,Outer Left-Bank Faubourgs,Quarter,Monparnasse,"""Monparnasse, Paris, France""",Montparnasse,48.8431549,2.3241911,Montparnasse,,,,,,,,,,Description
Ferragus,F,XIII,La Comédie Humaine,Scènes de la vie parisienne,148,148,Outer Left-Bank Faubourgs,Quarter,Monparnasse quarter,"""Monparnasse quarter, Paris, France""",Montparnasse,48.8431549,2.3241911,Description of a part of the Montparnasse quarter,,,,,,,,,,Description
La cousine Bette,B,XVII,La Comédie Humaine,Scènes de la vie parisienne,114,114,Outer Left-Bank Faubourgs,Quarter,The Gros-Caillou,"""The Gros-Caillou, Paris, France""",Saint-Jacques,48.8583298,2.2990401,Hulot promises Steinbock an atelier at Gros-Caillou,,Hulot::Steinbock,"""Hulot, Steinbock""",,,,,,,Event
La cousine Bette,B,XVII,La Comédie Humaine,Scènes de la vie parisienne,119,119,Outer Left-Bank Faubourgs,Quarter,The Gros-Caillou,"""The Gros-Caillou, Paris, France""",Saint-Jacques,48.8583298,2.2990401,Hulot promises Steinbock an atelier at Gros-Caillou,,Hulot::Steinbock,"""Hulot, Steinbock""",,,,,,,
La cousine Bette,B,XVII,La Comédie Humaine,Scènes de la vie parisienne,241,241,Outer Left-Bank Faubourgs,Quarter,The Gros-Caillou,"""The Gros-Caillou, Paris, France""",Saint-Jacques,48.8583298,2.2990401,Hulot promises Steinbock an atelier at Gros-Caillou,,Hulot::Steinbock,"""Hulot, Steinbock""",,,,,,,
La cousine Bette,B,XVII,La Comédie Humaine,Scènes de la vie parisienne,278,278,Outer Left-Bank Faubourgs,Quarter,The Gros-Caillou,"""The Gros-Caillou, Paris, France""",Saint-Jacques,48.8583298,2.2990401,Hulot promises Steinbock an atelier at Gros-Caillou,,Hulot::Steinbock,"""Hulot, Steinbock""",,,,,,,
Mémoires de deux jeunes mariées,MDJM,I,La Comédie Humaine,Scènes de la vie privée,373,373,Outer Left-Bank Faubourgs,Park,Saint-Cloud park,"""Saint-Cloud park, Paris, France""",Saint-Cloud,48.82845,2.218867,Saint-Cloud park,,,,,,,,,,Description
La Maison Nucingen,MN,XIV,La Comédie Humaine,Scènes de la vie parisienne,389,389,Outer Left-Bank Faubourgs,Residence,rue du Cherche-Midi,"""rue du Cherche-Midi, Paris, France""",,48.848027,2.323698,The Matifats live in the rue du Cherche-Midi,,Matifats,Matifats,,,,,,,Fact
La Maison Nucingen,MN,XIV,La Comédie Humaine,Scènes de la vie parisienne,390,390,Outer Left-Bank Faubourgs,Residence,rue du Cherche-Midi,"""rue du Cherche-Midi, Paris, France""",,48.848027,2.323698,The Matifats live in the rue du Cherche-Midi,,Matifats,Matifats,,,,,,,
